part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P37,J37,O372,M5,queued,259.1,4.0,"O172,O303,O322,O372","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P33,J33,O332,M7,end,261.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P27,J27,O272,M7,start,261.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P9,J9,O093,M5,queued,263.1,5.0,"O172,O303,O322,O372,O093","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P35,J35,O352,M2->M8,delivery,264.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P33,J33,O333,M7->M8,delivery,266.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",10.0
P13,J13,O132,M1,end,267.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P20,J20,O201,M1,start,267.0,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P24,J24,O242,M4,end,271.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P10,J10,O102,M6,end,271.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P26,J26,O263,M6,start,271.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P35,J35,O352,M8,queued,271.1,4.0,"O082,O183,O163,O352","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P14,J14,O141,M4,start,271.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P13,J13,O133,M1,queued,273.0,4.0,"O042,O221,O192,O133","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P33,J33,O333,M8,queued,277.1,5.0,"O082,O183,O163,O352,O333","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P10,J10,O103,M6->M4,delivery,277.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",8.0
P25,J25,O252,M8,end,279.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P8,J8,O082,M8,start,279.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P24,J24,O243,M4,queued,280.1,5.0,"O402,O073,O033,O112,O243","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P34,J34,O341,M5,end,282.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P39,J39,O392,M2,end,282.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P17,J17,O172,M5,start,282.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P31,J31,O312,M2,start,282.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P25,J25,O253,M8->M2,delivery,285.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P10,J10,O103,M4,queued,286.1,6.0,"O402,O073,O033,O112,O243,O103","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P34,J34,O342,M5->M2,delivery,288.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",10.0
P39,J39,O393,M2,queued,289.1,5.0,"O152,O012,O293,O062,O393","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P27,J27,O272,M7,end,292.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P21,J21,O211,M7,start,292.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P25,J25,O253,M2,queued,292.1,6.0,"O152,O012,O293,O062,O393,O253","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P20,J20,O201,M1,end,293.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
