part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P9,J9,O093,M5,end,569.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P40,J40,O403,M6,start,569.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O023,M5,start,569.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P18,J18,O183,M1,end,570.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P18,J18,,,done,570.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P37,J37,O373,M1,start,570.0,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P16,J16,O163,M2,end,574.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P33,J33,O333,M2,start,574.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O094,M5->M7,delivery,575.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",5.0
P27,J27,O274,M6->M2,delivery,575.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P35,J35,O354,M8,end,577.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P29,J29,O294,M8,start,577.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P16,J16,O164,M2->M7,delivery,579.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P9,J9,O094,M7,queued,581.1,2.0,"O224,O094","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O013,M4,end,582.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P12,J12,O125,M4,start,582.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P35,J35,O355,M8->M2,delivery,583.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P27,J27,O274,M2,queued,584.1,2.0,"O114,O274","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P16,J16,O164,M7,queued,588.1,3.0,"O224,O094,O164","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O014,M4->M8,delivery,588.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P35,J35,O355,M2,queued,590.1,3.0,"O114,O274,O355","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P8,J8,O083,M7,end,593.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P22,J22,O224,M7,start,593.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O023,M5,end,595.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,O204,M5,start,595.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O014,M8,queued,598.1,2.0,"O155,O014","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P40,J40,O403,M6,end,599.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P40,J40,,,done,599.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O325,M6,start,599.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P33,J33,O333,M2,end,600.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P33,J33,,,done,600.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P11,J11,O114,M2,start,600.1,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P37,J37,O373,M1,end,601.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P37,J37,,,done,601.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P25,J25,O254,M1,start,601.0,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O024,M5,queued,601.1,2.0,"O135,O024","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P8,J8,O084,M7->M6,delivery,601.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P29,J29,O294,M8,end,603.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P15,J15,O155,M8,start,603.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P12,J12,O125,M4,end,608.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P12,J12,,,done,608.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P19,J19,O195,M4,start,608.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P8,J8,O084,M6,queued,608.1,2.0,"O105,O084","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P29,J29,O295,M8->M4,delivery,609.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P29,J29,O295,M4,queued,619.1,1.0,O295,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P22,J22,O224,M7,end,624.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O094,M7,start,624.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,O204,M5,end,626.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P11,J11,O114,M2,end,626.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P11,J11,,,done,626.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,O135,M5,start,626.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P27,J27,O274,M2,start,626.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O325,M6,end,629.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,,,done,629.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P15,J15,O155,M8,end,629.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P15,J15,,,done,629.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,O105,M6,start,629.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O014,M8,start,629.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
